"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","CSECTIONS","TOT","1000BIRTH","A","1998",158.1,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1999",142,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2000",149.7,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2001",162.9,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2002",173,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2003",189.6,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2004",194.3,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2005",199.4,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2006",205.5,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2007",226.8,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2008",221.5,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2009",228.9,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2010",229.5,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2011",229.8,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2012",223.7,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2013",209,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2014",199.4,
"LVA","CSECTIONS","TOT","1000BIRTH","A","2015",210.2,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1992",82.5,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1993",92.8,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1994",99.7,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1995",100.6,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1996",107.7,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1997",112.2,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1998",115,
"LTU","CSECTIONS","TOT","1000BIRTH","A","1999",119.9,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2000",128.3,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2001",136.7,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2002",153.9,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2003",152.2,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2004",171.3,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2005",189.3,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2006",203,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2007",220.8,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2008",234.9,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2009",241.9,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2010",248.8,"B"
"LTU","CSECTIONS","TOT","1000BIRTH","A","2011",232.1,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2012",243.5,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2013",231.3,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2014",204.3,
"LTU","CSECTIONS","TOT","1000BIRTH","A","2015",198.2,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2005",263,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2006",275.8,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2007",282.3,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2008",294.6,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2009",299.7,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2010",305,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2011",308.9,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2012",308.9,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2013",306.6,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2014",308.2,
"DEU","CSECTIONS","TOT","1000BIRTH","A","2015",302.1,
